"","species","longitude","latitude"
"1","Mesophyllum erubescens","",""
"2","Mesophyllum erubescens","",""
"3","Mesophyllum erubescens","174.24","-41245"
"4","Mesophyllum erubescens","174.24","-41245"
"5","Mesophyllum erubescens","174.24","-41245"
"6","Mesophyllum erubescens","174.24","-41245"
"7","Mesophyllum erubescens","174.24","-41245"
"8","Mesophyllum erubescens","174.24","-41245"
"9","Mesophyllum erubescens","","174c6da2-e002-42fe-9f56-2f9d670240f4"
"10","Mesophyllum erubescens","",""
"11","Mesophyllum erubescens","",""
"12","Mesophyllum erubescens","",""
"13","Mesophyllum erubescens","-74.03019","-41.94486"
"14","Mesophyllum erubescens","-74.03019","-41.94486"
"15","Mesophyllum erubescens","-74.03019","-41.94486"
"16","Mesophyllum erubescens","-73.38219","-39.69365"
"17","Mesophyllum erubescens","",""
"18","Mesophyllum erubescens","",""
"19","Mesophyllum erubescens","",""
"20","Mesophyllum erubescens","","ae447c50-b8a8-11d8-92a4-b8a03c50a862"
"21","Mesophyllum erubescens","-24.493889","838537fc-4aeb-4980-8b58-97fbdcd1d91a"
"22","Mesophyllum erubescens","-14.64745","5fa89f68-9af0-4a0d-8998-ea39695c1db9"
"23","Mesophyllum erubescens","-13.25042","1928bdf0-f5d2-11dc-8c12-b8a03c50a862"
"24","Mesophyllum erubescens","-13.34141","1928bdf0-f5d2-11dc-8c12-b8a03c50a862"
"25","Mesophyllum erubescens","-13.34141","1928bdf0-f5d2-11dc-8c12-b8a03c50a862"
"26","Mesophyllum erubescens","-13.34114","1928bdf0-f5d2-11dc-8c12-b8a03c50a862"
"27","Mesophyllum erubescens","174.599722","-37.018333"
"28","Mesophyllum erubescens","-7.90701","1928bdf0-f5d2-11dc-8c12-b8a03c50a862"
"29","Mesophyllum erubescens","-43.833333","c58ac019-b413-4613-8772-39e57acbeb8e"
"30","Mesophyllum erubescens","-43.766667","c58ac019-b413-4613-8772-39e57acbeb8e"
"31","Mesophyllum erubescens","-43.7","c58ac019-b413-4613-8772-39e57acbeb8e"
"32","Mesophyllum erubescens","173.883333","-41.016667"
"33","Mesophyllum erubescens","174825","-41.34"
"34","Mesophyllum erubescens","176.986833","-37.859833"
"35","Mesophyllum erubescens","174825","-41.34"
"36","Mesophyllum erubescens","176.874967","-37.838583"
"37","Mesophyllum erubescens","174.180583","-35.21745"
"38","Mesophyllum erubescens","172.85625","-34.420833"
"39","Mesophyllum erubescens","-176.266667","-44.333333"
"40","Mesophyllum erubescens","175.825817","-36.856467"
"41","Mesophyllum erubescens","175.771717","-36.819833"
"42","Mesophyllum erubescens","174765","-41.348333"
"43","Mesophyllum erubescens","-52.55","c58ac019-b413-4613-8772-39e57acbeb8e"
"44","Mesophyllum erubescens","176.986833","-37.859833"
"45","Mesophyllum erubescens","174.180583","-35.21745"
"46","Mesophyllum erubescens","175.425967","-36.886883"
"47","Mesophyllum erubescens","175.053433","-36.8185"
"48","Mesophyllum erubescens","174.733333","-36.966667"
"49","Mesophyllum erubescens","175.053433","-36.8185"
"50","Mesophyllum erubescens","174.920833","-40.87"
"51","Mesophyllum erubescens","172.928183","-43.628667"
"52","Mesophyllum erubescens","174.702917","-38.325133"
"53","Mesophyllum erubescens","176.986833","-37.859833"
"54","Mesophyllum erubescens","174765","-41.348333"
"55","Mesophyllum erubescens","174.531933","-35.6116"
"56","Mesophyllum erubescens","175.053433","-36.8185"
"57","Mesophyllum erubescens","173.410617","-34828"
"58","Mesophyllum erubescens","172.71675","-34.435133"
"59","Mesophyllum erubescens","-176.68355","-43.798233"
"60","Mesophyllum erubescens","-176.705017","-43.815717"
"61","Mesophyllum erubescens","173.410617","-34828"
"62","Mesophyllum erubescens","178.050667","-38705"
"63","Mesophyllum erubescens","172.95705","-40.787033"
"64","Mesophyllum erubescens","-176.705017","-43.815717"
"65","Mesophyllum erubescens","175.053433","-36.8185"
"66","Mesophyllum erubescens","172.765783","-40.785733"
"67","Mesophyllum erubescens","174.2161","-35.196933"
"68","Mesophyllum erubescens","175.053433","-36.8185"
"69","Mesophyllum erubescens","174.766667","-41.35"
"70","Mesophyllum erubescens","172.928183","-43.628667"
"71","Mesophyllum erubescens","172.95705","-40.787033"
"72","Mesophyllum erubescens","174.205017","-35.201333"
"73","Mesophyllum erubescens","172.676667","-40.5"
"74","Mesophyllum erubescens","178.050667","-38705"
"75","Mesophyllum erubescens","172.95215","-40.790883"
"76","Mesophyllum erubescens","176.865833","-40.141667"
"77","Mesophyllum erubescens","176.874583","-40.120533"
"78","Mesophyllum erubescens","178.050667","-38705"
"79","Mesophyllum erubescens","174.824133","-36.376733"
"80","Mesophyllum erubescens","173.4009","-41.156533"
"81","Mesophyllum erubescens","172.676667","-40.5"
"82","Mesophyllum erubescens","178.031933","-38.6836"
"83","Mesophyllum erubescens","-176675","-44.0"
"84","Mesophyllum erubescens","174.920833","-40.87"
"85","Mesophyllum erubescens","172.773833","-43585"
"86","Mesophyllum erubescens","173.408283","-41.156917"
"87","Mesophyllum erubescens","178.2","-38.596667"
"88","Mesophyllum erubescens","174921","-40.869833"
"89","Mesophyllum erubescens","173.408283","-41.156917"
"90","Mesophyllum erubescens","172.928183","-43.628667"
"91","Mesophyllum erubescens","-176.705017","-43.815717"
"92","Mesophyllum erubescens","178.2","-38.596667"
"93","Mesophyllum erubescens","172.95705","-40.787033"
"94","Mesophyllum erubescens","172.928183","-43.628667"
"95","Mesophyllum erubescens","176.874583","-40.120533"
"96","Mesophyllum erubescens","176.865833","-40.141667"
"97","Mesophyllum erubescens","178.050667","-38705"
"98","Mesophyllum erubescens","172.638333","-43.645833"
"99","Mesophyllum erubescens","174921","-40.869833"
"100","Mesophyllum erubescens","172.928183","-43.628667"
"101","Mesophyllum erubescens","178.2","-38.596667"
"102","Mesophyllum erubescens","173.4009","-41.156533"
"103","Mesophyllum erubescens","173.04435","-43.654617"
"104","Mesophyllum erubescens","174921","-40.869833"
"105","Mesophyllum erubescens","178.2","-38.596667"
"106","Mesophyllum erubescens","178.11","-38.66"
"107","Mesophyllum erubescens","172.928183","-43.628667"
"108","Mesophyllum erubescens","174.920833","-40.87"
"109","Mesophyllum erubescens","178.2","-38.596667"
"110","Mesophyllum erubescens","178.2","-38.596667"
"111","Mesophyllum erubescens","178.2","-38.596667"
"112","Mesophyllum erubescens","178.11","-38.66"
"113","Mesophyllum erubescens","178.2","-38.596667"
"114","Mesophyllum erubescens","172.928183","-43.628667"
"115","Mesophyllum erubescens","178.11","-38.66"
"116","Mesophyllum erubescens","174.920833","-40.87"
"117","Mesophyllum erubescens","178.050667","-38705"
"118","Mesophyllum erubescens","176.922133","-39.96565"
"119","Mesophyllum erubescens","178.2","-38.596667"
"120","Mesophyllum erubescens","176.922133","-39.96565"
"121","Mesophyllum erubescens","176.865833","-40.141667"
"122","Mesophyllum erubescens","172.638333","-43.645833"
"123","Mesophyllum erubescens","174.714217","-41.219333"
"124","Mesophyllum erubescens","178.050667","-38705"
"125","Mesophyllum erubescens","174.714217","-41.219333"
"126","Mesophyllum erubescens","178.11","-38.66"
"127","Mesophyllum erubescens","178.2","-38.596667"
"128","Mesophyllum erubescens","178.050667","-38705"
"129","Mesophyllum erubescens","176.874583","-40.120533"
"130","Mesophyllum erubescens","178.11","-38.66"
"131","Mesophyllum erubescens","176.874583","-40.120533"
"132","Mesophyllum erubescens","172.779317","-43.621817"
"133","Mesophyllum erubescens","178.11","-38.66"
"134","Mesophyllum erubescens","176.874583","-40.120533"
"135","Mesophyllum erubescens","178.11","-38.66"
"136","Mesophyllum erubescens","178.11","-38.66"
"137","Mesophyllum erubescens","178.11","-38.66"
"138","Mesophyllum erubescens","-41.731467","c58ac019-b413-4613-8772-39e57acbeb8e"
"139","Mesophyllum erubescens","176.922133","-39.96565"
"140","Mesophyllum erubescens","176.266767","-40.794383"
"141","Mesophyllum erubescens","-41.731467","c58ac019-b413-4613-8772-39e57acbeb8e"
"142","Mesophyllum erubescens","172.961283","-40784"
"143","Mesophyllum erubescens","172.771833","-43571"
"144","Mesophyllum erubescens","173.408283","-41.156917"
"145","Mesophyllum erubescens","172.983167","-40.78085"
"146","Mesophyllum erubescens","172.9997","-43.645767"
"147","Mesophyllum erubescens","178.11","-38.66"
"148","Mesophyllum erubescens","172.773833","-43585"
"149","Mesophyllum erubescens","172.961283","-40784"
"150","Mesophyllum erubescens","173.983333","-39.05"
"151","Mesophyllum erubescens","176.266767","-40.794383"
"152","Mesophyllum erubescens","-41.731467","c58ac019-b413-4613-8772-39e57acbeb8e"
"153","Mesophyllum erubescens","172.723333","-43.623333"
"154","Mesophyllum erubescens","-41.731467","c58ac019-b413-4613-8772-39e57acbeb8e"
"155","Mesophyllum erubescens","173.408283","-41.156917"
"156","Mesophyllum erubescens","172.95705","-40.787033"
"157","Mesophyllum erubescens","173.408283","-41.156917"
"158","Mesophyllum erubescens","-41.731467","c58ac019-b413-4613-8772-39e57acbeb8e"
"159","Mesophyllum erubescens","173.4009","-41.156533"
"160","Mesophyllum erubescens","-41.731467","c58ac019-b413-4613-8772-39e57acbeb8e"
"161","Mesophyllum erubescens","-41.731467","c58ac019-b413-4613-8772-39e57acbeb8e"
"162","Mesophyllum erubescens","172.95215","-40.790883"
"163","Mesophyllum erubescens","172.779317","-43.621817"
"164","Mesophyllum erubescens","172.95215","-40.790883"
"165","Mesophyllum erubescens","173.4009","-41.156533"
"166","Mesophyllum erubescens","172.961283","-40784"
"167","Mesophyllum erubescens","171.273333","-42315"
"168","Mesophyllum erubescens","171.273333","-42315"
"169","Mesophyllum erubescens","-41.731467","c58ac019-b413-4613-8772-39e57acbeb8e"
"170","Mesophyllum erubescens","172.95705","-40.787033"
"171","Mesophyllum erubescens","173.9","-39.516667"
"172","Mesophyllum erubescens","173.983333","-39.05"
"173","Mesophyllum erubescens","172.95705","-40.787033"
"174","Mesophyllum erubescens","-41.731467","c58ac019-b413-4613-8772-39e57acbeb8e"
"175","Mesophyllum erubescens","173.363333","-41.183333"
"176","Mesophyllum erubescens","172.95705","-40.787033"
"177","Mesophyllum erubescens","172.983167","-40.78085"
"178","Mesophyllum erubescens","171.273333","-42315"
"179","Mesophyllum erubescens","171.273333","-42315"
"180","Mesophyllum erubescens","171.273333","-42315"
"181","Mesophyllum erubescens","171.273333","-42315"
"182","Mesophyllum erubescens","173.8","-42.266667"
"183","Mesophyllum erubescens","172.95215","-40.790883"
"184","Mesophyllum erubescens","171.273333","-42315"
"185","Mesophyllum erubescens","171.273333","-42315"
"186","Mesophyllum erubescens","171.273333","-42315"
"187","Mesophyllum erubescens","171.273333","-42315"
"188","Mesophyllum erubescens","171365","-42.031667"
"189","Mesophyllum erubescens","174.283333","-41.733333"
"190","Mesophyllum erubescens","172.95705","-40.787033"
"191","Mesophyllum erubescens","174.762667","-41.349167"
"192","Mesophyllum erubescens","174.821667","-41345"
"193","Mesophyllum erubescens","174.762667","-41.349167"
"194","Mesophyllum erubescens","172.95215","-40.790883"
"195","Mesophyllum erubescens","174.762667","-41.349167"
"196","Mesophyllum erubescens","174.116667","-39.0"
"197","Mesophyllum erubescens","173.9","-39.516667"
"198","Mesophyllum erubescens","172.983167","-40.78085"
"199","Mesophyllum erubescens","174.762667","-41.349167"
"200","Mesophyllum erubescens","173.9","-39.516667"
"201","Mesophyllum erubescens","171.273333","-42315"
"202","Mesophyllum erubescens","175.166667","-36.833333"
"203","Mesophyllum erubescens","174.821667","-41345"
"204","Mesophyllum erubescens","174.821667","-41345"
"205","Mesophyllum erubescens","174.831667","-41.331667"
"206","Mesophyllum erubescens","-40.85","c58ac019-b413-4613-8772-39e57acbeb8e"
"207","Mesophyllum erubescens","174.821667","-41345"
"208","Mesophyllum erubescens","174.762667","-41.349167"
"209","Mesophyllum erubescens","174.821667","-41345"
"210","Mesophyllum erubescens","174.762667","-41.349167"
"211","Mesophyllum erubescens","174.762667","-41.349167"
"212","Mesophyllum erubescens","174.821667","-41345"
"213","Mesophyllum erubescens","173.9","-39.516667"
"214","Mesophyllum erubescens","174.821667","-41345"
"215","Mesophyllum erubescens","173.051833","-34.417667"
"216","Mesophyllum erubescens","174.766667","-41.350333"
"217","Mesophyllum erubescens","174.283333","-41.733333"
"218","Mesophyllum erubescens","174.821667","-41345"
"219","Mesophyllum erubescens","174.821667","-41345"
"220","Mesophyllum erubescens","173.51","-42515"
"221","Mesophyllum erubescens","175.549083","-36.601133"
"222","Mesophyllum erubescens","178.753167","-37.672333"
"223","Mesophyllum erubescens","178.2","-38.596667"
"224","Mesophyllum erubescens","173.653833","-34.9355"
"225","Mesophyllum erubescens","174.762667","-41.349167"
"226","Mesophyllum erubescens","176.865833","-40.141667"
"227","Mesophyllum erubescens","173.051833","-34.417667"
"228","Mesophyllum erubescens","173.653833","-34.9355"
"229","Mesophyllum erubescens","178.2","-38.596667"
"230","Mesophyllum erubescens","-176.566667","-43.941667"
"231","Mesophyllum erubescens","174.766667","-41.350333"
"232","Mesophyllum erubescens","174.762667","-41.349167"
"233","Mesophyllum erubescens","178.753167","-37.672333"
"234","Mesophyllum erubescens","-176.333333","-44.033333"
"235","Mesophyllum erubescens","-176.383083","-44.018683"
"236","Mesophyllum erubescens","-18.083333","838537fc-4aeb-4980-8b58-97fbdcd1d91a"
"237","Mesophyllum erubescens","-17.9625","838537fc-4aeb-4980-8b58-97fbdcd1d91a"
"238","Mesophyllum erubescens","-17.9625","838537fc-4aeb-4980-8b58-97fbdcd1d91a"
"239","Mesophyllum erubescens","-20.525278","838537fc-4aeb-4980-8b58-97fbdcd1d91a"
"240","Mesophyllum erubescens","-3.815833","838537fc-4aeb-4980-8b58-97fbdcd1d91a"
"241","Mesophyllum erubescens","-3.841111","838537fc-4aeb-4980-8b58-97fbdcd1d91a"
"242","Mesophyllum erubescens","-38.370278","-12.966944"
"243","Mesophyllum erubescens","","bc092ff0-02e4-11dc-991f-b8a03c50a862"
"244","Mesophyllum erubescens","",""
"245","Mesophyllum erubescens","",""
"246","Mesophyllum erubescens","","bc092ff0-02e4-11dc-991f-b8a03c50a862"
"247","Mesophyllum erubescens","","bc092ff0-02e4-11dc-991f-b8a03c50a862"
"248","Mesophyllum erubescens","",""
"249","Mesophyllum erubescens","",""
"250","Mesophyllum erubescens","","bc092ff0-02e4-11dc-991f-b8a03c50a862"
"251","Mesophyllum erubescens","","bc092ff0-02e4-11dc-991f-b8a03c50a862"
"252","Mesophyllum erubescens","",""
"253","Mesophyllum erubescens","0.0","afdd8e93-b4e3-491c-88f0-8a22834ac1a9"
"254","Mesophyllum erubescens","0.0","0.0"
"255","Mesophyllum erubescens","0.0","0.0"
"256","Mesophyllum erubescens","0.0","0.0"
"257","Mesophyllum erubescens","0.0","0.0"
"258","Mesophyllum erubescens","0.0","0.0"
"259","Mesophyllum erubescens","d254f613-d4dd-4553-9fe3-b9485ca28371"," Rancho Norte."
"260","Mesophyllum erubescens","d254f613-d4dd-4553-9fe3-b9485ca28371"," Rancho Norte."
"261","Mesophyllum erubescens","",""
"262","Mesophyllum erubescens","d254f613-d4dd-4553-9fe3-b9485ca28371"," Rancho Norte."
"263","Mesophyllum erubescens","-38.4","-3.566667"
"264","Mesophyllum erubescens","-29.316667","-20.5"
"265","Mesophyllum erubescens","",""
"266","Mesophyllum erubescens","-46.666667","-24.466667"
"267","Mesophyllum erubescens","-32.416667","-3.833333"
"268","Mesophyllum erubescens","-27.266667","d254f613-d4dd-4553-9fe3-b9485ca28371"
"269","Mesophyllum erubescens","-20.5","d254f613-d4dd-4553-9fe3-b9485ca28371"
"270","Mesophyllum erubescens","-40.366667","-20.666667"
"271","Mesophyllum erubescens","-29.316667","-20.5"
"272","Mesophyllum erubescens","-24.466667","d254f613-d4dd-4553-9fe3-b9485ca28371"
"273","Mesophyllum erubescens","d254f613-d4dd-4553-9fe3-b9485ca28371"," Rancho Norte."
"274","Mesophyllum erubescens","d254f613-d4dd-4553-9fe3-b9485ca28371"," Rancho Norte."
"275","Mesophyllum erubescens","-45.016667","-23.533333"
"276","Mesophyllum erubescens","-40.366667","-20.666667"
"277","Mesophyllum erubescens","-32.416667","-3.833333"
"278","Mesophyllum erubescens","-20.5","d254f613-d4dd-4553-9fe3-b9485ca28371"
"279","Mesophyllum erubescens","-29.316667","-20.5"
"280","Mesophyllum erubescens","-40.366667","-20.666667"
"281","Mesophyllum erubescens","-44.4","-20.666667"
"282","Mesophyllum erubescens","",""
"283","Mesophyllum erubescens","",""
"284","Mesophyllum erubescens","-32.416667","-3.833333"
"285","Mesophyllum erubescens","-40.366667","-20.666667"
"286","Mesophyllum erubescens","",""
"287","Mesophyllum erubescens","-46.666667","-24.466667"
"288","Mesophyllum erubescens","",""
"289","Mesophyllum erubescens","",""
"290","Mesophyllum erubescens","",""
"291","Mesophyllum erubescens","",""
"292","Mesophyllum erubescens","",""
"293","Mesophyllum erubescens","","a8144f37-5ff7-4137-9400-94b5b2ea4ec4"
"294","Mesophyllum erubescens","","a8144f37-5ff7-4137-9400-94b5b2ea4ec4"
"295","Mesophyllum erubescens","96.85","-11.833333"
"296","Mesophyllum erubescens","","a8144f37-5ff7-4137-9400-94b5b2ea4ec4"
"297","Mesophyllum erubescens","","a8144f37-5ff7-4137-9400-94b5b2ea4ec4"
"298","Mesophyllum erubescens","","a8144f37-5ff7-4137-9400-94b5b2ea4ec4"
"299","Mesophyllum erubescens","a8144f37-5ff7-4137-9400-94b5b2ea4ec4"," nær [= near] Timor"
"300","Mesophyllum erubescens","",""
"301","Mesophyllum erubescens","","a8144f37-5ff7-4137-9400-94b5b2ea4ec4"
"302","Mesophyllum erubescens","","a8144f37-5ff7-4137-9400-94b5b2ea4ec4"
"303","Mesophyllum erubescens","","a8144f37-5ff7-4137-9400-94b5b2ea4ec4"
"304","Mesophyllum erubescens","","a8144f37-5ff7-4137-9400-94b5b2ea4ec4"
"305","Mesophyllum erubescens","",""
"306","Mesophyllum erubescens","","a8144f37-5ff7-4137-9400-94b5b2ea4ec4"
"307","Mesophyllum erubescens","","a8144f37-5ff7-4137-9400-94b5b2ea4ec4"
"308","Mesophyllum erubescens","",""
"309","Mesophyllum erubescens","",""
"310","Mesophyllum erubescens","","a8144f37-5ff7-4137-9400-94b5b2ea4ec4"
"311","Mesophyllum erubescens","144.6167","-38.3"
"312","Mesophyllum erubescens","144.6167","-38.3"
"313","Mesophyllum erubescens","-38.4167","1deb09e1-ded6-469a-a46e-f6329cb03b6a"
"314","Mesophyllum erubescens","-38.4167","1deb09e1-ded6-469a-a46e-f6329cb03b6a"
"315","Mesophyllum erubescens","142.25","-38.3667"
"316","Mesophyllum erubescens","145.4534","-14.6459"
"317","Mesophyllum erubescens","145.4534","-14.6459"
"318","Mesophyllum erubescens","-157856","21.5576"
"319","Mesophyllum erubescens","-156.9","20.9145"
"320","Mesophyllum erubescens","c96dd940-165d-11da-a5ec-b8a03c50a862"," Shizuoka"
